timestamp,value
2011-08-17T00:00:00Z,0
2011-08-18T00:00:00Z,0.48990826
2011-08-19T00:00:00Z,0
2011-08-20T00:00:00Z,8.07802889
2011-08-21T00:00:00Z,0
2011-08-22T00:00:00Z,0.49
2011-08-23T00:00:00Z,10
2011-08-24T00:00:00Z,0
2011-08-25T00:00:00Z,24.151
2011-08-26T00:00:00Z,0
2011-08-27T00:00:00Z,0
2011-08-28T00:00:00Z,0
2011-08-29T00:00:00Z,0
2011-08-30T00:00:00Z,0
2011-08-31T00:00:00Z,0
2011-09-01T00:00:00Z,0
2011-09-02T00:00:00Z,0
2011-09-03T00:00:00Z,0
2011-09-04T00:00:00Z,16.22671303
2011-09-05T00:00:00Z,0
2011-09-06T00:00:00Z,0
2011-09-07T00:00:00Z,0
2011-09-08T00:00:00Z,0
2011-09-09T00:00:00Z,0
2011-09-10T00:00:00Z,0
2011-09-11T00:00:00Z,0
2011-09-12T00:00:00Z,16.02
2011-09-13T00:00:00Z,0
2011-09-14T00:00:00Z,0
2011-09-15T00:00:00Z,0
2011-09-16T00:00:00Z,0
2011-09-17T00:00:00Z,0
2011-09-18T00:00:00Z,0
2011-09-19T00:00:00Z,0
2011-09-20T00:00:00Z,0
2011-09-21T00:00:00Z,2.3592
2011-09-22T00:00:00Z,0
2011-09-23T00:00:00Z,0
2011-09-24T00:00:00Z,0
2011-09-25T00:00:00Z,0
2011-09-26T00:00:00Z,0
2011-09-27T00:00:00Z,21.454545
2011-09-28T00:00:00Z,0
2011-09-29T00:00:00Z,0
2011-09-30T00:00:00Z,0
2011-10-01T00:00:00Z,0
2011-10-02T00:00:00Z,0
2011-10-03T00:00:00Z,0
2011-10-04T00:00:00Z,0
2011-10-05T00:00:00Z,0
2011-10-06T00:00:00Z,13.250501
2011-10-07T00:00:00Z,14.14
2011-10-08T00:00:00Z,0
2011-10-09T00:00:00Z,0
2011-10-10T00:00:00Z,132.5
2011-10-11T00:00:00Z,51.49
2011-10-12T00:00:00Z,0
2011-10-13T00:00:00Z,0
2011-10-14T00:00:00Z,0
2011-10-15T00:00:00Z,0
2011-10-16T00:00:00Z,0
2011-10-17T00:00:00Z,6.94
2011-10-18T00:00:00Z,0
2011-10-19T00:00:00Z,0
2011-10-20T00:00:00Z,0
2011-10-21T00:00:00Z,0
2011-10-22T00:00:00Z,0
2011-10-23T00:00:00Z,0
2011-10-24T00:00:00Z,0
2011-10-25T00:00:00Z,0
2011-10-26T00:00:00Z,18
2011-10-27T00:00:00Z,115
2011-10-28T00:00:00Z,0
2011-10-29T00:00:00Z,22.81004837
2011-10-30T00:00:00Z,0
2011-10-31T00:00:00Z,3.75
2011-11-01T00:00:00Z,0
2011-11-02T00:00:00Z,0
2011-11-03T00:00:00Z,0
2011-11-04T00:00:00Z,44.65422535
2011-11-05T00:00:00Z,44.194
2011-11-06T00:00:00Z,7.436
2011-11-07T00:00:00Z,0.12
2011-11-08T00:00:00Z,2.76
2011-11-09T00:00:00Z,0
2011-11-10T00:00:00Z,69.52165405
2011-11-11T00:00:00Z,0
2011-11-12T00:00:00Z,20.51
2011-11-13T00:00:00Z,0
2011-11-14T00:00:00Z,40
2011-11-15T00:00:00Z,22.33968562
2011-11-16T00:00:00Z,129.64031483
2011-11-17T00:00:00Z,1
2011-11-18T00:00:00Z,11
2011-11-19T00:00:00Z,0
2011-11-20T00:00:00Z,76.47710572
